Title,Price,Location,tX,Area,ImageURL
Apartamento T1 em Meadela,220.000€,Viana do Castelo e Meadela,T1,99,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/f6/b8/a6/295463268.jpg
Moradia em banda em Santa Maria Maior,369.000€,Viana do Castelo e Meadela,T2,186,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/4e/61/78/276418166.jpg
Moradia em Castelo do Neiva,252.000€,Viana do Castelo,T3,134,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/15/b1/5d/259604714.jpg
Apartamento T3 em Chafé,199.000€,Viana do Castelo,T3,118,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/2e/b6/9d/293790879.jpg
Moradia em Vila Franca,585.000€,Viana do Castelo,T5,323,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/db/5a/6c/237603627.jpg
Moradia em Darque,229.000€,Viana do Castelo,T3,161,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/97/d2/25/240584646.jpg
Apartamento T3 em Monserrate,299.000€,Viana do Castelo e Meadela,T3,125,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/3b/06/75/291997409.jpg
Moradia independente em Monserrate,1.120.000€,Viana do Castelo e Meadela,T3,387,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/85/07/70/284375911.jpg
Apartamento T3 em Meadela,237.500€,Viana do Castelo e Meadela,T3,100,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/32/92/93/293594019.jpg
Apartamento T2 na Rua Julio Evangelista,485.000€,"Meadela, Viana do Castelo e Meadela",T2,110,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/93/d4/3a/289670186.jpg
Apartamento T2 em Centro Histórico,269.000€,Viana do Castelo e Meadela,T2,67,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/91/98/51/267240328.jpg
Moradia em Chafé,390.000€,Viana do Castelo,T3,256,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/47/d5/0f/291211681.jpg
Moradia em Centro Histórico,775.000€,Viana do Castelo e Meadela,T4,234,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/63/c7/99/281132437.jpg
Moradia independente em Geraz do Lima e Deão,460.000€,Viana do Castelo,T4,360,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/03/55/3e/295898425.jpg
Apartamento T1 em Centro Histórico,240.000€,Viana do Castelo e Meadela,T1,49,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/a4/7b/d9/273980780.jpg
Moradia independente em Alvarães,658.000€,Viana do Castelo,T3,305,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/1d/e8/6c/286879464.jpg
Apartamento T2 em Santa Maria Maior,380.000€,Viana do Castelo e Meadela,T2,144,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/bf/c5/0a/294843368.jpg
Moradia em Centro Histórico,300.000€,Viana do Castelo e Meadela,T2,116,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/91/01/b7/287726641.jpg
Moradia em Carreço,1.195.000€,Viana do Castelo,T3,1,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/47/c0/97/243535660.jpg
Moradia em Mazarefes e Vila Fria,430.000€,Viana do Castelo,T4,643,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/97/91/19/251535520.jpg
Moradia em Afife,240.000€,Viana do Castelo,T2,1,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/db/6b/55/280352715.jpg
Moradia em Vila Nova de Anha,490.000€,Viana do Castelo,T6,566,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/5a/00/e7/275567546.jpg
Moradia em Vila de Punhe,160.000€,Viana do Castelo,T2,71,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/0c/e7/40/242988461.jpg
Moradia em Areosa,345.000€,Viana do Castelo,T5,180,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/bf/6e/e1/289768452.jpg
Apartamento T2 em Meadela,205.000€,Viana do Castelo e Meadela,T2,90,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/98/3d/a3/290106953.jpg
Moradia em Cardielos e Serreleis,266.500€,Viana do Castelo,T4,527,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/28/18/50/287192983.jpg
Moradia em Santa Marta de Portuzelo,240.000€,Viana do Castelo,T2,105,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/77/39/41/290230835.jpg
Apartamento T4 em Santa Maria Maior,450.000€,Viana do Castelo e Meadela,T4,163,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/5b/77/32/282983940.jpg
Moradia em Barroselas e Carvoeiro,250.000€,Viana do Castelo,T3,609,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/22/cb/6d/290106916.jpg
Moradia em Areosa,750.000€,Viana do Castelo,T7,256,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/cd/ed/65/293018491.jpg
Penthouse na Rua Júlio Envangelista,895.000€,"s/n, Meadela, Viana do Castelo e Meadela",T3,292,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/1e/18/b9/283915214.jpg
Moradia independente na Rua da Formigosa,259.000€,"22, Barroselas e Carvoeiro, Viana do Castelo",T3,201,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/bb/29/d2/298525943.jpg
Apartamento T4 na Rua André Padilha,332.000€,"Santa Maria Maior, Viana do Castelo e Meadela",T4,232,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c4/09/33/293740061.jpg
Andar de moradia na Rua da Parinheira,249.950€,"273, Areosa, Viana do Castelo",T4,115,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/55/2b/43/298438591.jpg
Moradia independente na Rua São Sebastião,320.000€,"Barroselas e Carvoeiro, Viana do Castelo",T4,274,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/d0/d7/51/298216778.jpg
Apartamento T1 na Praceta Praia do Rodanho,239.000€,"s/n, Vila Nova de Anha, Viana do Castelo",T1,67,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/8b/b7/df/295542454.jpg
Apartamento T2 na Rua do Futuro,249.000€,"119, Areosa, Viana do Castelo",T2,114,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/fd/f8/e3/293413430.jpg
