Title,Price,Location,Details,ImageURL
"Moradia em Barroselas e Carvoeiro, Viana do Castelo",250.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/22/cb/6d/290106916.jpg
"Moradia geminada na Rua da Alegria, Areosa, Viana do Castelo",269.000€,,T2,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/2c/02/e5/298410452.jpg
"Moradia em Areosa, Viana do Castelo",750.000€,,T7,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/cd/ed/65/293018491.jpg
"Penthouse na Rua Júlio Envangelista, s/n, Meadela, Viana do Castelo e Meadela",895.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/1e/18/b9/283915214.jpg
"Andar de moradia na Rua da Parinheira, 273, Areosa, Viana do Castelo",249.950€,,T4,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/55/2b/43/298438591.jpg
"Moradia independente na Rua da Formigosa, 22, Barroselas e Carvoeiro, Viana do Castelo",259.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/bb/29/d2/298525943.jpg
"Apartamento T4 na Rua André Padilha, Santa Maria Maior, Viana do Castelo e Meadela",332.000€,,T4,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c4/09/33/293740061.jpg
"Moradia independente na Rua São Sebastião, Barroselas e Carvoeiro, Viana do Castelo",320.000€,,T4,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/d0/d7/51/298216778.jpg
"Apartamento T1 na Praceta Praia do Rodanho, s/n, Vila Nova de Anha, Viana do Castelo",239.000€,,T1,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/8b/b7/df/295542454.jpg
"Apartamento T2 na Rua do Futuro, 119, Areosa, Viana do Castelo",249.000€,,T2,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/fd/f8/e3/293413430.jpg
"Apartamento T2 na Rua do Poço, Centro Histórico, Viana do Castelo e Meadela",269.000€,,T2,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/b6/b2/9c/292424573.jpg
"Apartamento T3 na Avenida 2 de Fevereiro, Areosa, Viana do Castelo",320.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/54/d4/da/290816242.jpg
"Moradia independente na Rua da Bela Vista, Areosa, Viana do Castelo",1.400.000€,,T4,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/28/a0/72/294134723.jpg
"Moradia independente em Vila Nova de Anha, Viana do Castelo",450.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/cb/2b/a5/297017217.jpg
"Andar de moradia em Barroselas e Carvoeiro, Viana do Castelo",235.000€,,T2,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/60/1e/77/297513650.jpg
"Apartamento T3 em Darque, Viana do Castelo",182.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/92/6e/4f/295035026.jpg
"Apartamento T3 na Rua Artur Castro, 53, Santa Maria Maior, Viana do Castelo e Meadela",327.700€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/37/02/89/298216874.jpg
"Apartamento T1 na Rua do Pinheiro Manso, s/n, Darque, Viana do Castelo",165.390€,,T1,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/88/c0/f2/280565750.jpg
"Moradia independente em Centro Histórico, Viana do Castelo e Meadela",775.000€,,T4,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/d8/e0/a9/279432817.jpg
"Moradia em Lanheses, Viana do Castelo",375.000€,,T4,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/83/60/77/292240390.jpg
"Moradia independente na Rua do Moinho de Vidro, Meadela, Viana do Castelo e Meadela",498.000€,,T5,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c0/40/1e/297758636.jpg
"Moradia em Torre e Vila Mou, Viana do Castelo",410.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/9d/76/01/288655569.jpg
"Apartamento T3 em Centro Histórico, Viana do Castelo e Meadela",1.200.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ca/7e/30/298189435.jpg
"Moradia independente na Rua Manuel Espregueira, Centro Histórico, Viana do Castelo e Meadela",590.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/88/0a/7c/284375945.jpg
"Moradia independente na Rua da Malhadeira, Carreço, Viana do Castelo",550.000€,,T4,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c7/e1/40/284377365.jpg
"Moradia geminada em Areosa, Viana do Castelo",346.800€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/60/e6/5d/292055009.jpg
"Andar de moradia em Barroselas e Carvoeiro, Viana do Castelo",256.000€,,T3,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/a3/26/2e/290867827.jpg
"Apartamento T4 em Darque, Viana do Castelo",385.000€,,T4,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/21/cb/8b/297877511.jpg
"Apartamento T1 em Darque, Viana do Castelo",235.000€,,T1,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/dc/8c/c7/294885167.jpg
"Moradia independente em Castelo do Neiva, Viana do Castelo",340.000€,,T4,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/fa/a2/c1/291334248.jpg
